image_path,image_name,width,height,channels,aspect_ratio,file_size_mb,brightness,contrast,split
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_035.jpg,IDRiD_035,4288,2848,3,1.5056179775280898,0.3685483932495117,43.471615,51.09965,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_036.jpg,IDRiD_036,4288,2848,3,1.5056179775280898,0.350372314453125,75.19406,73.454735,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_037.jpg,IDRiD_037,4288,2848,3,1.5056179775280898,0.35307884216308594,55.056026,66.16508,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_038.jpg,IDRiD_038,4288,2848,3,1.5056179775280898,0.3575601577758789,82.355515,71.95371,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_039.jpg,IDRiD_039,4288,2848,3,1.5056179775280898,0.4004173278808594,61.075745,67.57455,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_040.jpg,IDRiD_040,4288,2848,3,1.5056179775280898,0.40055179595947266,63.60004,68.32851,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_041.jpg,IDRiD_041,4288,2848,3,1.5056179775280898,0.28926849365234375,52.2957,65.89334,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_042.jpg,IDRiD_042,4288,2848,3,1.5056179775280898,0.3105125427246094,53.799942,67.40606,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_043.jpg,IDRiD_043,4288,2848,3,1.5056179775280898,0.3559141159057617,46.170753,53.795017,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_044.jpg,IDRiD_044,4288,2848,3,1.5056179775280898,0.37657928466796875,52.13384,64.09351,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_045.jpg,IDRiD_045,4288,2848,3,1.5056179775280898,0.38158702850341797,77.979996,71.27679,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_046.jpg,IDRiD_046,4288,2848,3,1.5056179775280898,0.35213661193847656,86.79618,75.15592,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_047.jpg,IDRiD_047,4288,2848,3,1.5056179775280898,0.3711824417114258,76.550354,64.08947,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_048.jpg,IDRiD_048,4288,2848,3,1.5056179775280898,0.39636707305908203,59.10803,52.13888,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_049.jpg,IDRiD_049,4288,2848,3,1.5056179775280898,0.3810606002807617,65.19653,69.90271,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_050.jpg,IDRiD_050,4288,2848,3,1.5056179775280898,0.37734222412109375,67.669426,71.41013,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_051.jpg,IDRiD_051,4288,2848,3,1.5056179775280898,0.3298807144165039,49.89555,61.999664,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_052.jpg,IDRiD_052,4288,2848,3,1.5056179775280898,0.27170276641845703,46.903008,61.026085,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_053.jpg,IDRiD_053,4288,2848,3,1.5056179775280898,0.4099540710449219,56.798763,60.454693,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_054.jpg,IDRiD_054,4288,2848,3,1.5056179775280898,0.3686990737915039,63.835213,71.12358,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_055.jpg,IDRiD_055,4288,2848,3,1.5056179775280898,0.36796092987060547,70.49943,63.794792,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_056.jpg,IDRiD_056,4288,2848,3,1.5056179775280898,0.2747163772583008,40.02342,50.41237,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_057.jpg,IDRiD_057,4288,2848,3,1.5056179775280898,0.4249534606933594,77.342316,63.6944,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_058.jpg,IDRiD_058,4288,2848,3,1.5056179775280898,0.40300941467285156,52.177513,54.654457,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_059.jpg,IDRiD_059,4288,2848,3,1.5056179775280898,0.32555294036865234,58.789654,73.70587,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_060.jpg,IDRiD_060,4288,2848,3,1.5056179775280898,0.3864126205444336,85.352715,78.57267,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_061.jpg,IDRiD_061,4288,2848,3,1.5056179775280898,0.3595094680786133,88.91331,76.15517,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_062.jpg,IDRiD_062,4288,2848,3,1.5056179775280898,0.3881864547729492,66.38243,63.6784,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_063.jpg,IDRiD_063,4288,2848,3,1.5056179775280898,0.3566131591796875,55.156864,67.29999,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_064.jpg,IDRiD_064,4288,2848,3,1.5056179775280898,0.34766578674316406,55.722477,68.383705,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_065.jpg,IDRiD_065,4288,2848,3,1.5056179775280898,0.3749990463256836,61.008476,69.754555,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_066.jpg,IDRiD_066,4288,2848,3,1.5056179775280898,0.3983306884765625,68.07237,70.14531,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_067.jpg,IDRiD_067,4288,2848,3,1.5056179775280898,0.3714313507080078,57.29705,60.93506,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_068.jpg,IDRiD_068,4288,2848,3,1.5056179775280898,0.3698749542236328,52.412617,56.028496,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_069.jpg,IDRiD_069,4288,2848,3,1.5056179775280898,0.3984375,58.764763,51.57917,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_070.jpg,IDRiD_070,4288,2848,3,1.5056179775280898,0.3771686553955078,61.553574,62.747772,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_071.jpg,IDRiD_071,4288,2848,3,1.5056179775280898,0.374237060546875,50.088646,55.846294,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_072.jpg,IDRiD_072,4288,2848,3,1.5056179775280898,0.3847208023071289,49.2317,54.36241,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_073.jpg,IDRiD_073,4288,2848,3,1.5056179775280898,0.37319374084472656,78.76553,82.20439,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_074.jpg,IDRiD_074,4288,2848,3,1.5056179775280898,0.3761129379272461,62.20623,71.19196,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_075.jpg,IDRiD_075,4288,2848,3,1.5056179775280898,0.3139991760253906,51.34249,62.699486,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_076.jpg,IDRiD_076,4288,2848,3,1.5056179775280898,0.2843904495239258,50.34594,62.792183,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_077.jpg,IDRiD_077,4288,2848,3,1.5056179775280898,0.3446474075317383,82.59492,83.08143,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_078.jpg,IDRiD_078,4288,2848,3,1.5056179775280898,0.36252307891845703,86.83676,72.24583,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_079.jpg,IDRiD_079,4288,2848,3,1.5056179775280898,0.4118785858154297,56.107365,64.8479,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_080.jpg,IDRiD_080,4288,2848,3,1.5056179775280898,0.40451908111572266,56.039352,64.701965,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_081.jpg,IDRiD_081,4288,2848,3,1.5056179775280898,0.32070159912109375,75.80644,74.26284,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_082.jpg,IDRiD_082,4288,2848,3,1.5056179775280898,0.37450599670410156,73.34282,64.72437,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_083.jpg,IDRiD_083,4288,2848,3,1.5056179775280898,0.36292171478271484,49.4583,60.76532,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_084.jpg,IDRiD_084,4288,2848,3,1.5056179775280898,0.36995792388916016,46.055054,50.217747,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_085.jpg,IDRiD_085,4288,2848,3,1.5056179775280898,0.35454654693603516,38.18337,42.420746,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_086.jpg,IDRiD_086,4288,2848,3,1.5056179775280898,0.3360309600830078,38.429054,46.917007,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_087.jpg,IDRiD_087,4288,2848,3,1.5056179775280898,0.3404693603515625,57.624977,66.83368,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_088.jpg,IDRiD_088,4288,2848,3,1.5056179775280898,0.3737773895263672,56.135986,54.758194,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_089.jpg,IDRiD_089,4288,2848,3,1.5056179775280898,0.2703828811645508,45.582027,58.668365,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_090.jpg,IDRiD_090,4288,2848,3,1.5056179775280898,0.2800893783569336,44.790283,57.15592,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_091.jpg,IDRiD_091,4288,2848,3,1.5056179775280898,0.37690258026123047,53.352806,63.06021,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_092.jpg,IDRiD_092,4288,2848,3,1.5056179775280898,0.41457176208496094,54.7169,63.291058,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_093.jpg,IDRiD_093,4288,2848,3,1.5056179775280898,0.39583492279052734,49.350574,58.19277,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_094.jpg,IDRiD_094,4288,2848,3,1.5056179775280898,0.36693477630615234,47.773724,57.931797,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_095.jpg,IDRiD_095,4288,2848,3,1.5056179775280898,0.34942150115966797,84.49568,77.417015,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_096.jpg,IDRiD_096,4288,2848,3,1.5056179775280898,0.3694143295288086,57.804764,62.408978,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_097.jpg,IDRiD_097,4288,2848,3,1.5056179775280898,0.35767078399658203,80.89408,71.16588,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_098.jpg,IDRiD_098,4288,2848,3,1.5056179775280898,0.31876373291015625,59.321075,71.571594,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_099.jpg,IDRiD_099,4288,2848,3,1.5056179775280898,0.3162422180175781,59.385105,71.6697,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_100.jpg,IDRiD_100,4288,2848,3,1.5056179775280898,0.3629312515258789,49.710884,58.042374,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_101.jpg,IDRiD_101,4288,2848,3,1.5056179775280898,0.3901700973510742,64.83155,68.171,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_102.jpg,IDRiD_102,4288,2848,3,1.5056179775280898,0.37172985076904297,73.62345,71.157036,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_103.jpg,IDRiD_103,4288,2848,3,1.5056179775280898,0.37044620513916016,46.773476,51.593533,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_104.jpg,IDRiD_104,4288,2848,3,1.5056179775280898,0.36809444427490234,60.7448,66.268,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_105.jpg,IDRiD_105,4288,2848,3,1.5056179775280898,0.38405418395996094,58.342377,65.31243,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_106.jpg,IDRiD_106,4288,2848,3,1.5056179775280898,0.33547306060791016,67.46439,83.029755,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_107.jpg,IDRiD_107,4288,2848,3,1.5056179775280898,0.24707698822021484,51.10553,67.92921,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_108.jpg,IDRiD_108,4288,2848,3,1.5056179775280898,0.37975215911865234,64.90305,69.3772,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_109.jpg,IDRiD_109,4288,2848,3,1.5056179775280898,0.24774646759033203,64.01651,78.521034,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_110.jpg,IDRiD_110,4288,2848,3,1.5056179775280898,0.25644493103027344,52.54369,65.029,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_111.jpg,IDRiD_111,4288,2848,3,1.5056179775280898,0.22930526733398438,47.03361,61.07685,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_112.jpg,IDRiD_112,4288,2848,3,1.5056179775280898,0.3894319534301758,60.887527,60.40951,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_113.jpg,IDRiD_113,4288,2848,3,1.5056179775280898,0.3688678741455078,66.87832,62.3951,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_114.jpg,IDRiD_114,4288,2848,3,1.5056179775280898,0.3659477233886719,55.505436,65.740555,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_115.jpg,IDRiD_115,4288,2848,3,1.5056179775280898,0.38098907470703125,54.60859,57.45757,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_116.jpg,IDRiD_116,4288,2848,3,1.5056179775280898,0.38664817810058594,76.86132,76.03355,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_117.jpg,IDRiD_117,4288,2848,3,1.5056179775280898,0.3887805938720703,59.391727,65.58999,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_118.jpg,IDRiD_118,4288,2848,3,1.5056179775280898,0.38795948028564453,57.85053,65.81975,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_119.jpg,IDRiD_119,4288,2848,3,1.5056179775280898,0.37398624420166016,53.954365,60.833294,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_120.jpg,IDRiD_120,4288,2848,3,1.5056179775280898,0.3800382614135742,58.222908,68.09095,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_121.jpg,IDRiD_121,4288,2848,3,1.5056179775280898,0.38440895080566406,63.832726,62.71081,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_122.jpg,IDRiD_122,4288,2848,3,1.5056179775280898,0.35236358642578125,40.69865,43.185658,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_123.jpg,IDRiD_123,4288,2848,3,1.5056179775280898,0.38460826873779297,61.95417,66.806915,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_124.jpg,IDRiD_124,4288,2848,3,1.5056179775280898,0.5979433059692383,28.843233,40.815834,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_125.jpg,IDRiD_125,4288,2848,3,1.5056179775280898,0.37120723724365234,55.140995,62.876484,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_126.jpg,IDRiD_126,4288,2848,3,1.5056179775280898,0.3868885040283203,59.721024,59.602177,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_127.jpg,IDRiD_127,4288,2848,3,1.5056179775280898,0.2948923110961914,41.569786,52.882496,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_128.jpg,IDRiD_128,4288,2848,3,1.5056179775280898,0.3747873306274414,72.94058,80.03978,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_129.jpg,IDRiD_129,4288,2848,3,1.5056179775280898,0.3769969940185547,61.547543,69.551636,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_130.jpg,IDRiD_130,4288,2848,3,1.5056179775280898,0.36450862884521484,40.860577,51.352875,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_131.jpg,IDRiD_131,4288,2848,3,1.5056179775280898,0.3545570373535156,62.797096,74.161125,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_132.jpg,IDRiD_132,4288,2848,3,1.5056179775280898,0.736846923828125,63.123672,69.35926,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_133.jpg,IDRiD_133,4288,2848,3,1.5056179775280898,0.2782573699951172,64.05611,81.38207,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_134.jpg,IDRiD_134,4288,2848,3,1.5056179775280898,0.39729976654052734,58.860928,57.640366,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_135.jpg,IDRiD_135,4288,2848,3,1.5056179775280898,0.3797578811645508,60.43716,59.04719,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_136.jpg,IDRiD_136,4288,2848,3,1.5056179775280898,0.26541900634765625,41.34686,52.973747,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_137.jpg,IDRiD_137,4288,2848,3,1.5056179775280898,0.24262523651123047,43.468636,55.15958,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_138.jpg,IDRiD_138,4288,2848,3,1.5056179775280898,0.3890371322631836,56.926434,56.63375,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_139.jpg,IDRiD_139,4288,2848,3,1.5056179775280898,0.38509273529052734,45.76688,52.19675,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_140.jpg,IDRiD_140,4288,2848,3,1.5056179775280898,0.38421058654785156,46.030117,52.5673,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_141.jpg,IDRiD_141,4288,2848,3,1.5056179775280898,0.4018678665161133,70.23201,70.30248,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_142.jpg,IDRiD_142,4288,2848,3,1.5056179775280898,0.39502811431884766,48.113796,49.807476,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_143.jpg,IDRiD_143,4288,2848,3,1.5056179775280898,0.4011096954345703,46.858917,49.16073,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_144.jpg,IDRiD_144,4288,2848,3,1.5056179775280898,0.41892337799072266,67.26898,58.786938,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_145.jpg,IDRiD_145,4288,2848,3,1.5056179775280898,0.4164237976074219,48.567066,48.720024,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_146.jpg,IDRiD_146,4288,2848,3,1.5056179775280898,0.34072017669677734,35.427418,36.085007,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_147.jpg,IDRiD_147,4288,2848,3,1.5056179775280898,0.32854461669921875,32.732784,33.00932,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_148.jpg,IDRiD_148,4288,2848,3,1.5056179775280898,0.3111543655395508,30.664057,31.829493,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_149.jpg,IDRiD_149,4288,2848,3,1.5056179775280898,0.32824230194091797,32.585537,35.305653,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_150.jpg,IDRiD_150,4288,2848,3,1.5056179775280898,0.36675071716308594,40.151123,45.411472,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_151.jpg,IDRiD_151,4288,2848,3,1.5056179775280898,0.36506175994873047,41.62129,45.98177,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_152.jpg,IDRiD_152,4288,2848,3,1.5056179775280898,0.36306285858154297,37.72643,46.285484,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_153.jpg,IDRiD_153,4288,2848,3,1.5056179775280898,0.23856258392333984,37.260944,50.595493,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_154.jpg,IDRiD_154,4288,2848,3,1.5056179775280898,0.24610614776611328,39.13324,51.89152,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_155.jpg,IDRiD_155,4288,2848,3,1.5056179775280898,0.3611469268798828,35.718033,44.380093,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_156.jpg,IDRiD_156,4288,2848,3,1.5056179775280898,0.7734861373901367,58.243755,58.12321,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_157.jpg,IDRiD_157,4288,2848,3,1.5056179775280898,0.36870479583740234,39.89537,44.503155,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_158.jpg,IDRiD_158,4288,2848,3,1.5056179775280898,0.7539033889770508,56.38898,57.115524,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_159.jpg,IDRiD_159,4288,2848,3,1.5056179775280898,0.359466552734375,36.640373,39.185722,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_160.jpg,IDRiD_160,4288,2848,3,1.5056179775280898,0.2682514190673828,45.590904,59.255264,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_161.jpg,IDRiD_161,4288,2848,3,1.5056179775280898,0.3381156921386719,38.441864,44.0997,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_162.jpg,IDRiD_162,4288,2848,3,1.5056179775280898,0.38889598846435547,85.69653,81.951706,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_163.jpg,IDRiD_163,4288,2848,3,1.5056179775280898,0.3765544891357422,57.33962,61.22098,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_164.jpg,IDRiD_164,4288,2848,3,1.5056179775280898,0.3558006286621094,57.353764,68.58449,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_165.jpg,IDRiD_165,4288,2848,3,1.5056179775280898,0.3631763458251953,55.888645,67.428856,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_166.jpg,IDRiD_166,4288,2848,3,1.5056179775280898,0.38295745849609375,47.644333,52.558495,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_167.jpg,IDRiD_167,4288,2848,3,1.5056179775280898,0.37758731842041016,49.8746,53.497997,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_168.jpg,IDRiD_168,4288,2848,3,1.5056179775280898,0.36736297607421875,36.226864,36.80831,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_169.jpg,IDRiD_169,4288,2848,3,1.5056179775280898,0.38727855682373047,40.630478,42.806072,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_170.jpg,IDRiD_170,4288,2848,3,1.5056179775280898,0.36652565002441406,35.16237,39.801422,train
B. Disease Grading\1. Original Images\a. Training Set\IDRiD_171.jpg,IDRiD_171,4288,2848,3,1.5056179775280898,0.35590648651123047,34.41283,40.75543,train
